,ID,compositionality_type,question,answers,topic_ids,answer_ids
1942,WebQTrn-1657_4752eb1b10ef775830dbf8468bc5d4d1,composition,"What movies featured the artist nominated for ""7 Things""?","[{'aliases': [], 'answer': 'Miley Cyrus: Tongue Tied', 'answer_id': 'm.010ls0tb'}, {'aliases': ['Krupna riba', 'Suur kala', 'Nagy hal', 'Velká ryba', 'Big Fish - Der Zauber, der ein Leben zur Legende macht', 'El gran pez', 'Big fish: La légende du gros poisson'], 'answer': 'Big Fish', 'answer_id': 'm.027pfg'}, {'aliases': ['Hana Montana: filmas', 'Hannah Montana - The Movie', 'Hannah Montana - La película', 'Hanna Montana - La película', 'Hannah Montana: I tainia', 'Hannah Montana - Der Film', 'Hannah Montana: A film', 'Hannah Montana', 'Hannah Montana - filmen', 'Hannah Montana - Le film', 'Hannah Montana film', 'Hanna Montana - Bíómyndin', 'Hannah Montana - O Filme'], 'answer': 'Hannah Montana: The Movie', 'answer_id': 'm.02x3lt7'}, {'aliases': [], 'answer': 'Hannah Montana and Miley Cyrus: Best of Both Worlds Concert', 'answer_id': 'm.03ck042'}, {'aliases': [], 'answer': 'Sonic the Hedgehog', 'answer_id': 'm.042w0v2'}, {'aliases': ['Sex And The City 2'], 'answer': 'Sex and the City 2', 'answer_id': 'm.05h43ls'}, {'aliases': ['Wizards on Deck With Hannah Montana - Cast-Away To Another Show'], 'answer': 'Wizards on Deck with Hannah Montana', 'answer_id': 'm.064qvcw'}, {'aliases': ['Bolt - Un perro fuera de serie 3D', 'Munja', 'American Dog', 'Piorun', 'Bolt - Ein Hund für alle Fälle', 'Grom', 'Blesk', 'Bolt - Un eroe a quattro zampe', 'Bolt - Pes pro kazdý prípad', 'Bolt - Supercão', 'Volt, star malgré lui', 'Volt', 'Boruto', 'Вольт', 'Välk', 'Гръм', 'Bolt - Un perro fuera de serie'], 'answer': 'Bolt', 'answer_id': 'm.06fcqw'}, {'aliases': ['El último beso', 'Son sarki', 'La dernière chanson', 'La ultima canción', 'Mit Dir an meiner Seite', 'To teleftaio tragoudi', 'A Melodia do Adeus', 'Viimane laul', 'The Last Song: Ostatnia piosenka', 'A Última Música', 'Az utolsó dal', 'La última canción', 'Untitled Miley Cyrus ProjectViimane laul'], 'answer': 'The Last Song', 'answer_id': 'm.07ykkx5'}, {'aliases': [], 'answer': 'Super Rhino', 'answer_id': 'm.080gfc8'}, {'aliases': ['High School Musical 2: Sing It All Or Nothing!'], 'answer': 'High School Musical 2', 'answer_id': 'm.0bc5ny'}, {'aliases': ['Lola', 'LOL: Laughing Out Loud', 'LOL', 'LOL - Pazza del mio migliore amico', 'Summer. Classmates. Love', 'L.O.L.'], 'answer': 'LOL', 'answer_id': 'm.0cmddrx'}, {'aliases': [], 'answer': 'Radio Disney Party Jams: The Concert', 'answer_id': 'm.0crsmk2'}, {'aliases': [], 'answer': 'The World According to Miley Cyrus', 'answer_id': 'm.0cs2t3x'}, {'aliases': [], 'answer': 'So Undercover', 'answer_id': 'm.0g56xqy'}, {'aliases': [], 'answer': 'Family Bond', 'answer_id': 'm.0swngjg'}, {'aliases': [], 'answer': 'Rock Mafia Presents: The Big Bang', 'answer_id': 'm.0w1x037'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/010ls0tb', '/m/027pfg', '/m/02x3lt7', '/m/03ck042', '/m/042w0v2', '/m/05h43ls', '/m/064qvcw', '/m/06fcqw', '/m/07ykkx5', '/m/080gfc8', '/m/0bc5ny', '/m/0cmddrx', '/m/0crsmk2', '/m/0cs2t3x', '/m/0g56xqy', '/m/0swngjg', '/m/0w1x037']"
1399,WebQTrn-2686_66d78e979f974fc3b0cc043967ca25d8,composition,What is the currency used in the jurisdiction with the governmental body called the Puerto Rico Cabinet?,"[{'aliases': ['USD', '$', 'US Dollar', 'US $', 'US Currency', 'US$', 'Federal Reserve Note', 'American Dollar', 'Greenback'], 'answer': 'United States Dollar', 'answer_id': 'm.09nqf'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/09nqf']
3300,WebQTrn-2346_28493f74e4691113c9a8fa3dd1f12cf9,composition,What languages are used in the birthplace of the Formosan Mountain Dog breed?,"[{'aliases': ['Mandarin dialects'], 'answer': 'Mandarin Chinese', 'answer_id': 'm.03115z'}, {'aliases': [], 'answer': 'Taiwanese Mandarin', 'answer_id': 'm.09q16b'}, {'aliases': ['Xinminhua', 'Kek', 'Hakka', 'Ke', 'Hokka', 'Tu Guangdonghua', 'Kehia', 'Hakka Chinese', 'Khek', 'Majiahua', 'Kechia', 'Chinese, Hakka', 'Kejia'], 'answer': 'Chinese, Hakka Language', 'answer_id': 'm.0dxj6'}, {'aliases': ['Taiwanese language', 'Taiwanese'], 'answer': 'Taiwanese Hokkien', 'answer_id': 'm.0g1jw'}]","['/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/03115z', '/m/09q16b', '/m/0dxj6', '/m/0g1jw']"
2362,WebQTrn-3629_0a8c48e034655dbf9b49f8291fc92df3,composition,What was the person Marcus Vitruvius Pollio dedicated his work to famous for?,"[{'aliases': [], 'answer': 'Roman emperor', 'answer_id': 'm.01g14w'}, {'aliases': ['Político'], 'answer': 'Politician', 'answer_id': 'm.0fj9f'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/01g14w', '/m/0fj9f']"
3437,WebQTrn-1173_380e85bec3f45f88991a3cac5e71bd92,composition,"The person that said ""A good newspaper is a nation talking to itself"" was influenced by who?","[{'aliases': ['Henrik Johan Ibsen', 'The Father of Modern Drama', 'the father of realism', 'Hendrik Ibsen', 'Ibsen', 'Henrik Ibsén', 'Henryk Ibsen', 'Enrique Ibsen', 'H. Ibsen'], 'answer': 'Henrik Ibsen', 'answer_id': 'm.03pm9'}, {'aliases': ['Sofokles', 'Sophokles', 'Sophocles Dexion'], 'answer': 'Sophocles', 'answer_id': 'm.06pzl'}, {'aliases': ['Shake-speare', ""William 'Budd' Shakespeare"", 'The Bard of Avon', 'Will Shakespeare', 'William Shakespare', 'Shakspere', ""England's national poet"", 'The Bard', 'William Shaxper', 'Shaxper', 'Shakespeare', 'William Shake-speare', 'Budd', 'William Shakspere', 'William Shaksper', 'W. Shakespeare', 'Shaksper'], 'answer': 'William Shakespeare', 'answer_id': 'm.081k8'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/03pm9', '/m/06pzl', '/m/081k8']"
710,WebQTrn-2603_dd7c5611481a2dd23668e84938f3c6ba,composition,What language is spoken in the governmental jurisdiction where the government includes the position Prime Minister of Hungary?,"[{'aliases': ['Hungarian Language', 'Magyar', 'Hungarian'], 'answer': 'Hungarian language', 'answer_id': 'm.02ztjwg'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/02ztjwg']
1927,WebQTrn-3064_9bff9b3325534dae4908b820d4364101,composition,"In what province does the movie ""Shoot 'Em Up"" take place?","[{'aliases': [""Province D' Ontario"", 'ON', 'Province D’ Ontario', 'Province Of Ontario'], 'answer': 'Ontario', 'answer_id': 'm.05kr_'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/05kr_']
3252,WebQTest-827_a0da13a7b70a064b8cffb58007f6739d,composition,Who knows where the origin of the artist that recorded #Thatpower?,"[{'aliases': ['Dominion of Canada', 'Canuckistan'], 'answer': 'Canada', 'answer_id': 'm.0d060g'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0d060g']
3227,WebQTrn-2774_cbe0b2e42bd644732f31cbd57e534e85,composition,What kind of music did the artist that went on This is It Tour sing?,"[{'aliases': [], 'answer': 'New jack swing', 'answer_id': 'm.021_z5'}, {'aliases': ['R&B', 'Modern R&B'], 'answer': 'Contemporary R&B', 'answer_id': 'm.025sc50'}, {'aliases': ['Disco music'], 'answer': 'Disco', 'answer_id': 'm.026z9'}, {'aliases': [], 'answer': 'Motown Sound', 'answer_id': 'm.02bqnt'}, {'aliases': ['Electronic'], 'answer': 'Electronic music', 'answer_id': 'm.02lkt'}, {'aliases': [], 'answer': 'Dance-pop', 'answer_id': 'm.02lnbg'}, {'aliases': ['Adult contemporary'], 'answer': 'Adult contemporary music', 'answer_id': 'm.02vjzr'}, {'aliases': ['Funk music'], 'answer': 'Funk', 'answer_id': 'm.02x8m'}, {'aliases': ['Post Disco'], 'answer': 'Post-disco', 'answer_id': 'm.03c34yl'}, {'aliases': [], 'answer': 'Pop rock', 'answer_id': 'm.05bt6j'}, {'aliases': ['Pop', 'pop'], 'answer': 'Pop music', 'answer_id': 'm.064t9'}, {'aliases': ['רוק', 'Rock'], 'answer': 'Rock music', 'answer_id': 'm.06by7'}, {'aliases': ['R&B', 'RnB'], 'answer': 'Rhythm and blues', 'answer_id': 'm.06j6l'}, {'aliases': ['Dance'], 'answer': 'Dance music', 'answer_id': 'm.0ggx5q'}, {'aliases': ['Soul'], 'answer': 'Soul music', 'answer_id': 'm.0gywn'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/021_z5', '/m/025sc50', '/m/026z9', '/m/02bqnt', '/m/02lkt', '/m/02lnbg', '/m/02vjzr', '/m/02x8m', '/m/03c34yl', '/m/05bt6j', '/m/064t9', '/m/06by7', '/m/06j6l', '/m/0ggx5q', '/m/0gywn']"
3245,WebQTrn-1977_1418776dad84ad8bbc9f1562114bc7a5,composition,What sports team does the actor that starred in the film Golden Shoes play for?,"[{'aliases': ['Portugal Mens Football Team', 'Portugal National Soccer Team', ""Portugal Men's Football Team"", 'A Seleção', 'A Seleção das Quinas', 'Portugal National Football Team', 'Portugal Mens National Soccer Team', ""Portugal's national football team"", 'Selecção das Quinas', 'Os Navegadores', 'Portugal Mens Soccer Team', ""Portugal Men's National Soccer Team"", 'Portugal national football', 'A Selecção', 'A Seleccao das Quinas', ""Portugal Men's Soccer Team"", 'Portugal Football Team', 'Portugal Mens National Football Team', 'Portugal Soccer Team', 'The Navigators', ""Portugal Men's National Football Team""], 'answer': 'Portugal national football team', 'answer_id': 'm.02rqxc'}, {'aliases': ['Real Madrid C.F. in European football', 'Sociedad Madrid FC', 'Los Merengues', 'Los Vikingos', 'Royal Madrid Football Club', 'Real Madrid', 'Madrid Football Club', 'Real Madrid Club de Fútbol', 'Los Blancos'], 'answer': 'Real Madrid C.F.', 'answer_id': 'm.06l22'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/02rqxc', '/m/06l22']"
373,WebQTrn-1542_b0c49fd8fdb5779bd62406ebb134084b,composition,What type of government does that country with Sparta as its capital have?,"[{'aliases': [], 'answer': 'Diarchy', 'answer_id': 'm.04mlzp'}, {'aliases': ['Kingdom'], 'answer': 'Monarchy', 'answer_id': 'm.04szc'}, {'aliases': [], 'answer': 'Republic', 'answer_id': 'm.06cx9'}, {'aliases': [], 'answer': 'Aristocracy', 'answer_id': 'm.09dcy'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/04mlzp', '/m/04szc', '/m/06cx9', '/m/09dcy']"
3330,WebQTest-823_7928c31906d17532b294eb0d786e1ccc,composition,What countries border the production country for Cerveza Ducal beer?,"[{'aliases': ['Brazilian ', 'República Federativa do Brasil', 'Brasil', 'Federative Republic of Brazil'], 'answer': 'Brazil', 'answer_id': 'm.015fr'}, {'aliases': [], 'answer': 'Peru', 'answer_id': 'm.016wzw'}, {'aliases': ['Republic of Chile'], 'answer': 'Chile', 'answer_id': 'm.01p1v'}, {'aliases': ['Corazon de America', 'Heart of America', 'Republic of Paraguay', 'Corazón de América'], 'answer': 'Paraguay', 'answer_id': 'm.05v10'}, {'aliases': ['The Argentine', 'Agrentina ', 'Argentine Republic'], 'answer': 'Argentina', 'answer_id': 'm.0jgd'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/015fr', '/m/016wzw', '/m/01p1v', '/m/05v10', '/m/0jgd']"
739,WebQTrn-3012_fbb250d577dae6a4255a0a693c10fb6d,composition,"Which countries share a border with the country where Guangzhou Zhu Jiang Brewery Co.Ltd.,and Zhu Jiang Beer beer is manufactured?","[{'aliases': ['Democratic Republic of Nepal', 'Federal Democratic Republic of Nepal'], 'answer': 'Nepal', 'answer_id': 'm.016zwt'}, {'aliases': ['Republic of Vietnam', 'Viet nam', 'Socialist Republic of Vietnam', 'Annam'], 'answer': 'Vietnam', 'answer_id': 'm.01crd5'}, {'aliases': ['Nippon-koku', 'JPN', 'Япония', 'JAP', 'Nihon', 'Dai-Nippon', 'Nippon', 'NTSC J', 'Japan', 'State of Japan', 'Land of the Rising Sun', 'Nihon-koku'], 'answer': 'Japan', 'answer_id': 'm.03_3d'}, {'aliases': ['Bharat Ganrajya', 'Hindustan', 'Bharat', 'Republic of India', 'The Republic of India'], 'answer': 'India', 'answer_id': 'm.03rk0'}, {'aliases': [], 'answer': 'Kazakhstan', 'answer_id': 'm.047lj'}, {'aliases': [""Lao People's Democratic Republic"", '라오스'], 'answer': 'Laos', 'answer_id': 'm.04hhv'}, {'aliases': [], 'answer': 'Mongolia', 'answer_id': 'm.04w8f'}, {'aliases': ['Burma', 'ミャンマー連邦共和国', 'Myanmar (Burma)', 'Republic of the Union of Myanmar'], 'answer': 'Myanmar', 'answer_id': 'm.04xn_'}, {'aliases': [""Democratic People's Republic of Korea"", 'DPRK'], 'answer': 'North Korea', 'answer_id': 'm.05b7q'}, {'aliases': ['Federation of Pakistan', 'Islamic Republic of Pakistan'], 'answer': 'Pakistan', 'answer_id': 'm.05sb1'}, {'aliases': ['Russian Federation', 'Россия'], 'answer': 'Russia', 'answer_id': 'm.06bnz'}, {'aliases': ['ROC', 'Chinese Taipei', 'Taiwan, Republic of China'], 'answer': 'Taiwan', 'answer_id': 'm.06f32'}, {'aliases': [], 'answer': 'Bhutan', 'answer_id': 'm.07bxhl'}, {'aliases': [], 'answer': 'Tajikistan', 'answer_id': 'm.07dvs'}, {'aliases': ['Afganistan', 'Islamic Republic of Afghanistan'], 'answer': 'Afghanistan', 'answer_id': 'm.0jdd'}, {'aliases': ['Kirgisistan'], 'answer': 'Kyrgyzstan', 'answer_id': 'm.0jt3tjf'}]","['/m/0g84t93', '/m/0g84t93', '/m/0k20s', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/016zwt', '/m/01crd5', '/m/03_3d', '/m/03rk0', '/m/047lj', '/m/04hhv', '/m/04w8f', '/m/04xn_', '/m/05b7q', '/m/05sb1', '/m/06bnz', '/m/06f32', '/m/07bxhl', '/m/07dvs', '/m/0jdd', '/m/0jt3tjf']"
1982,WebQTrn-116_e33ff87d9052b943ad36637c20cdd488,composition,What country did the politician with position High Sheriff reign over?,"[{'aliases': ['U.K.', 'United Kingdom of Great Britain', 'United Kingdom of Great Britain and Ireland', 'The United Kingdom of Great Britain and Northern Ireland', 'Britain', 'Great Britain', 'GBR', 'GB', 'UK', 'United Kingdom of Great Britain and Northern Ireland'], 'answer': 'United Kingdom', 'answer_id': 'm.07ssc'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/07ssc']
3226,WebQTrn-233_f4a9e5f1e0dcfb82cbadf4771eda7bb5,composition,"What language is spoken in the country that has the national anthem ""Afghan National Anthem""?","[{'aliases': ['Madaglashti', 'Badakhshi', 'Farsi, Eastern', 'Eastern Farsi', 'Dari', 'Persian', 'Tajik', 'Farsi', 'Parsi', 'Afghan Persian'], 'answer': 'Farsi, Eastern Language', 'answer_id': 'm.02hwl5z'}, {'aliases': ['Pushto', 'Pushto language', 'Pashto', 'Pukhto'], 'answer': 'Pashto language', 'answer_id': 'm.0swlx'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/02hwl5z', '/m/0swlx']"
297,WebQTrn-983_7bb3762d89a96ae20e23b2c38166d2e6,composition,What part of Oregon was the movie with a character named Billy Tessio filmed in?,"[{'aliases': ['Oreg', 'Beaver State', 'OR'], 'answer': 'Oregon', 'answer_id': 'm.05kj_'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/05kj_']
1169,WebQTrn-3012_ea7ebebfb3a25c8e83b4bbfdda67d52d,composition,Which countries border the country that has a State Administration of Foreign Exchange?,"[{'aliases': ['Democratic Republic of Nepal', 'Federal Democratic Republic of Nepal'], 'answer': 'Nepal', 'answer_id': 'm.016zwt'}, {'aliases': ['Republic of Vietnam', 'Viet nam', 'Socialist Republic of Vietnam', 'Annam'], 'answer': 'Vietnam', 'answer_id': 'm.01crd5'}, {'aliases': ['Nippon-koku', 'JPN', 'Япония', 'JAP', 'Nihon', 'Dai-Nippon', 'Nippon', 'NTSC J', 'Japan', 'State of Japan', 'Land of the Rising Sun', 'Nihon-koku'], 'answer': 'Japan', 'answer_id': 'm.03_3d'}, {'aliases': ['Bharat Ganrajya', 'Hindustan', 'Bharat', 'Republic of India', 'The Republic of India'], 'answer': 'India', 'answer_id': 'm.03rk0'}, {'aliases': [], 'answer': 'Kazakhstan', 'answer_id': 'm.047lj'}, {'aliases': [""Lao People's Democratic Republic"", '라오스'], 'answer': 'Laos', 'answer_id': 'm.04hhv'}, {'aliases': [], 'answer': 'Mongolia', 'answer_id': 'm.04w8f'}, {'aliases': ['Burma', 'ミャンマー連邦共和国', 'Myanmar (Burma)', 'Republic of the Union of Myanmar'], 'answer': 'Myanmar', 'answer_id': 'm.04xn_'}, {'aliases': [""Democratic People's Republic of Korea"", 'DPRK'], 'answer': 'North Korea', 'answer_id': 'm.05b7q'}, {'aliases': ['Federation of Pakistan', 'Islamic Republic of Pakistan'], 'answer': 'Pakistan', 'answer_id': 'm.05sb1'}, {'aliases': ['Russian Federation', 'Россия'], 'answer': 'Russia', 'answer_id': 'm.06bnz'}, {'aliases': ['ROC', 'Chinese Taipei', 'Taiwan, Republic of China'], 'answer': 'Taiwan', 'answer_id': 'm.06f32'}, {'aliases': [], 'answer': 'Bhutan', 'answer_id': 'm.07bxhl'}, {'aliases': [], 'answer': 'Tajikistan', 'answer_id': 'm.07dvs'}, {'aliases': ['Afganistan', 'Islamic Republic of Afghanistan'], 'answer': 'Afghanistan', 'answer_id': 'm.0jdd'}, {'aliases': ['Kirgisistan'], 'answer': 'Kyrgyzstan', 'answer_id': 'm.0jt3tjf'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/016zwt', '/m/01crd5', '/m/03_3d', '/m/03rk0', '/m/047lj', '/m/04hhv', '/m/04w8f', '/m/04xn_', '/m/05b7q', '/m/05sb1', '/m/06bnz', '/m/06f32', '/m/07bxhl', '/m/07dvs', '/m/0jdd', '/m/0jt3tjf']"
530,WebQTrn-400_0f9bacde023054f0139544f95a9ec439,composition,Donald H. Pfister's organization is location in what state?,"[{'aliases': ['Bay State', 'MA', 'US-MA', 'The Old Colony State', 'Mass', 'The Codfish State', 'Commonwealth of Massachusetts', 'Mass.'], 'answer': 'Massachusetts', 'answer_id': 'm.05k7sb'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0k20s', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/05k7sb']
1392,WebQTest-823_c9f03583d41b06a69af03c37bbd7b556,composition,What countries does the nation that uses the Pauserna language border?,"[{'aliases': ['Brazilian ', 'República Federativa do Brasil', 'Brasil', 'Federative Republic of Brazil'], 'answer': 'Brazil', 'answer_id': 'm.015fr'}, {'aliases': [], 'answer': 'Peru', 'answer_id': 'm.016wzw'}, {'aliases': ['Republic of Chile'], 'answer': 'Chile', 'answer_id': 'm.01p1v'}, {'aliases': ['Corazon de America', 'Heart of America', 'Republic of Paraguay', 'Corazón de América'], 'answer': 'Paraguay', 'answer_id': 'm.05v10'}, {'aliases': ['The Argentine', 'Agrentina ', 'Argentine Republic'], 'answer': 'Argentina', 'answer_id': 'm.0jgd'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/015fr', '/m/016wzw', '/m/01p1v', '/m/05v10', '/m/0jgd']"
1991,WebQTest-1591_4e2a785b515c8024dd42f5a9bc60760b,composition,"Prior to becoming Under Secretary of Defense for Personnel and Readiness, what was this person's  occupation?","[{'aliases': ['international lawyer', 'Barrister', 'Attorney', 'Counsel', 'Solicitor'], 'answer': 'Lawyer', 'answer_id': 'm.04gc2'}, {'aliases': ['Scribe', 'Author'], 'answer': 'Writer', 'answer_id': 'm.0cbd2'}, {'aliases': ['Político'], 'answer': 'Politician', 'answer_id': 'm.0fj9f'}, {'aliases': [], 'answer': 'Law professor', 'answer_id': 'm.0fz465'}, {'aliases': ['Writer'], 'answer': 'Author', 'answer_id': 'm.0kyk'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/04gc2', '/m/0cbd2', '/m/0fj9f', '/m/0fz465', '/m/0kyk']"
547,WebQTest-1191_c2ff19afb275737b0309f11e46a2d691,composition,"What is the language of the country whose national anthem is ""March On, Bahamanland""?","[{'aliases': ['Bahamian Dialect', 'Bahamas Creole English', 'Bahamian Creole English'], 'answer': 'Bahamas Creole English Language', 'answer_id': 'm.026qjbs'}, {'aliases': ['Sekgoa', 'Anglit', 'English language', 'English'], 'answer': 'English Language', 'answer_id': 'm.02h40lc'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/026qjbs', '/m/02h40lc']"
688,WebQTrn-1987_574c09c69db94cf53f8dedf8301ebf89,composition,"What county is the area where the newspaper ""Sacramento News & Review"" circulates in?","[{'aliases': [], 'answer': 'Sacramento County', 'answer_id': 'm.0bxqq'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0bxqq']
